stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:10:51 [CC---]     683038 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:56 [CC---]     689541 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:01 [CC---]     696044 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:06 [CC---]     702539 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:11 [CC---]     709034 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:16 [CC---]     715521 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:21 [CC---]     722008 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:26 [CC---]     728511 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:31 [CC---]     734998 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:36 [CC---]     741313 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:41 [CC---]     747636 B    9803 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:46 [CC---]     753943 B    9769 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:51 [CC---]     760322 B    9920 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:11:56 [CC---]     766801 B   10041 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:01 [CC---]     773304 B   15608 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:06 [CC---]     779751 B   10041 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:11 [CC---]     786230 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:16 [CC---]     792701 B   10029 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:21 [CC---]     799180 B   10481 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:26 [CC---]     805667 B   10031 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:31 [CC---]     812170 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:36 [CC---]     818673 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:41 [CC---]     825168 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:46 [CC---]     831671 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:51 [CC---]     838158 B   10466 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:12:56 [CC---]     844661 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:01 [CC---]     851156 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:06 [CC---]     857643 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:11 [CC---]     864090 B   10460 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:16 [CC---]     870593 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:21 [CC---]     877088 B   10556 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
